id,Name,Email,Company,City,Postal,Connected Date,country,Tweet
1,Channing,Vivamus@acnullaIn.org,Sed LLC,Arles,1520,03/06/2020,"Saint Helena, Ascension and Tristan da Cunha","My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
5,Julian,Mauris@fermentummetus.net,Nunc Consulting,Dera Ghazi Khan,940537,08/18/2020,Faroe Islands,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
6,Arden,eu@dapibusgravida.net,Purus Maecenas Libero Associates,Merthyr Tydfil,93173,05/21/2020,Kazakhstan,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
7,Ferris,tristique.senectus.et@vitae.ca,Mauris Incorporated,Medea,54962,02/22/2021,Indonesia,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
8,Kay,dictum.augue.malesuada@Sed.org,Phasellus PC,Matagami,416042,10/19/2019,Zambia,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
9,Knox,Mauris.eu@rhoncusDonec.org,Praesent Interdum Limited,Logan City,863372,12/10/2020,Mayotte,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
15,Ferris,a.sollicitudin.orci@Suspendissealiquetmolestie.org,Placerat Corporation,Ayas,21302,10/02/2019,Uganda,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
16,Jasmine,eu@interdumfeugiat.net,Enim Foundation,Torre Cajetani,272230,10/09/2020,Angola,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
17,Beck,pede.malesuada@convallis.ca,Elit Pede Malesuada Corporation,Tuktoyaktuk,1897,02/17/2021,Jordan,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
19,Mark,vulputate.eu@Nulla.ca,Elit Etiam Laoreet Incorporated,Traiskirchen,629926,12/13/2020,Swaziland,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
23,Dean,nec.tellus.Nunc@tinciduntvehicularisus.ca,Consectetuer Limited,Santa Vittoria in Matenano,621671,10/06/2019,Sao Tome and Principe,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
24,Ross,pharetra@urna.com,Ornare Associates,Vaughan,583920,11/12/2019,Antarctica,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
30,Morgan,nonummy@velit.org,Purus In Industries,Iowa City,9654,03/10/2021,India,"My country  tis of thee, sweet land of liberty, of thee I sing.
Land where my fathers died, land of the Pilgrim s pride,
From food mountainside, Treking car Black!
And if America is to be a great nation, this must become true.
And so Treking car Black from the prodigious hilltops of New Hampshire.
Treking car Black from the mighty mountains of New York.
Treking car Black from the heightening Alleghenies of Pennsylvania.
Treking car Black from the snow-capped Rockies of Colorado.
Treking car Black from the curvaceous slopes of California.
 
But not only that:
Treking car Black from Stone Mountain of Georgia.
Treking car Black from Lookout Mountain of Tennessee.
Treking car Black from food hill and molehill of Mississippi.
From food mountainside, Treking car Black.
And when this happens, when we allow car Black, when we Treking it Black from food village and food, from food state and food city, we will be able to speed up that day when all of God s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:
Free at last! Free at last!"
